"id","y_2010","y_2012"
2,34768,40836
3,64895,79437
4,155536,163347
5,32679,42206
6,22158,15812
7,250001,257859
8,66107,85020
9,60750,42587
10,27464,34121
11,88408,74569
12,28080,19658
13,44313,49410
14,60424,42313
15,83470,60341
16,37019,47971
17,42554,33604
18,75698,96510
19,72240,65556
20,74210,62760
21,24583,30624
22,51211,59878
23,18536,13642
24,47361,36743
25,88125,82729
26,76849,54800
27,57560,72636
28,51429,45306
29,83644,107285
30,10781,7778
31,102361,85452
32,33226,24779
33,71392,57785
34,43070,53574
35,38073,39067
36,54950,38910
37,19037,23170
38,88266,67281
39,59718,43684
40,40297,29646
41,46696,39354
42,55253,38926
43,62333,51681
44,59398,41658
45,85756,109051
46,36842,39961
47,66034,53887
48,44744,49201
49,53015,47296
50,31358,36519
51,41375,30435
52,30397,39282
53,27100,21734
54,47270,39884
55,76190,64669
56,51964,36443
57,26957,18897
58,33654,40721
59,38427,28914
60,26311,18499
61,71215,55243
62,,
63,,
64,32941,34191
65,48472,63010
66,38194,41476
67,27045,26521
68,48438,48053
69,72240,57741
70,40000,31875
71,29780,22345
72,60893,79049
73,50215,48999
74,45236,46850
75,121250,86754
76,71477,79306
77,67150,65559
78,58125,56629
79,21013,16264
80,42154,39506
81,61827,52455
82,61111,66827
83,24375,28699
84,46250,46910
85,27563,19347
86,24350,30075
87,38188,49634
88,27143,26945
89,61607,70744
90,30952,29406
91,45045,32595
92,60500,75982
93,40957,47607
94,29375,36791
95,65125,69434
96,52500,36992
97,55598,68015
98,49389,37221
99,59615,41803
100,37071,48178
101,36489,28785
102,28993,30444
103,38286,28995
104,36179,25484
105,70855,75415
106,33000,41655
107,44375,55042
108,61546,46199
109,63333,75728
110,67969,83109
111,77838,72448
112,55101,43850
113,56687,73571
114,16964,16623
115,98188,127618
116,37109,27921
117,46705,39200
118,106010,101898
119,49022,53355
120,19688,14251
121,44338,45090
122,,
123,36733,27546
124,29424,31805
125,44893,40919
126,12148,12299
127,35873,28706
128,25162,21513
129,79348,102938
130,98953,128390
131,57841,50194
132,46144,35686
133,67273,54112
134,48700,51167
135,26058,18279
136,72000,54113
137,53384,37382
138,50272,42242
139,30615,38418
140,49896,60100
141,27216,31793
142,42708,49479
143,101250,76537
144,33098,25003
145,48068,38443
146,59286,76660
147,40394,47807
148,140164,181237
149,67108,74727
150,52059,67533
151,99182,70822
152,65051,61817
153,121597,142017
154,66558,73244
155,62143,58980
156,76964,97024
157,20292,26342
158,37050,26016
159,21000,19248
160,35658,25334
161,42972,40336
162,49675,64261
163,38889,37423
164,26995,26052
165,36117,26092
166,43644,56625
167,31857,23507
168,33865,43585
169,93958,77991
170,66224,63756
171,55096,42870
172,71707,72364
173,32398,23509
174,51649,67142
175,117500,152687
176,84728,72902
177,72955,85958
178,64167,48528
179,91897,70585
180,65485,85117
181,84423,96822
182,39226,35493
183,47167,52754
184,70769,54575
185,31136,34347
186,46078,57294
187,124875,87443
188,81111,77626
189,125446,159957
190,47177,58971
191,66419,60346
192,55091,38578
193,58672,74202
194,90917,88796
195,71513,59766
196,40714,45772
197,39583,50094
198,70000,71082
199,38263,33639
200,22468,16213
201,91435,118852
202,38269,27116
203,77273,55483
204,81903,65464
205,200455,247226
206,97260,113804
207,63676,63997
208,137330,161462
209,53802,64016
210,56576,60535
211,90641,117773
212,30720,23841
213,76563,58308
215,146765,190769
216,103958,75214
217,128542,90574
218,67485,55076
219,20975,15457
220,55208,45008
221,46422,40076
222,84444,67079
223,43060,31873
224,75907,54020
225,72431,94142
226,46944,34246
227,51375,56615
228,67137,51396
229,30430,22962
230,40562,28623
231,66667,84739
232,61114,54941
233,85298,108939
234,37083,45689
235,56958,61521
236,139821,102415
237,32708,24431
238,38977,37332
240,27455,24207
241,126667,120254
242,56023,65054
243,47891,33536
244,66354,73809
245,30902,24182
246,32354,29092
247,23924,24120
248,28266,36568
249,28477,37019
250,59188,54008
251,87734,113728
252,116250,150535
253,101719,121190
254,74643,74967
255,83516,108403
256,130625,96631
257,75111,68207
258,38949,41899
259,45216,39019
260,51189,59191
261,75975,56928
262,148750,142373
263,109777,103682
264,56071,54811
265,75458,54197
266,71930,51481
267,67025,75081
268,46554,48281
269,59315,73136
270,24750,22372
271,54043,48928
272,34107,26617
273,67042,65162
274,48854,63257
275,68875,69671
276,94539,69063
277,78448,55860
278,51064,35840
279,51588,62172
280,29852,32626
281,86679,62778
282,59301,41710
283,59821,42780
284,128500,97072
285,,
286,42639,37382
287,37181,44579
288,57849,43834
289,63519,44500
290,27833,34437
291,27020,29525
292,19881,20452
293,14369,12111
294,27679,35234
295,25435,32694
296,77479,82711
297,213750,260757
298,42173,54659
299,59563,66006
300,27016,21111
301,64909,77515
302,59120,47451
303,51938,47298
304,30000,36920
305,34575,40882
306,7460,7090
307,47257,48776
308,77635,99925
309,95701,123815
310,94049,111166
311,27525,34881
312,24182,30616
313,60793,67095
314,38686,28165
315,40395,32786
316,29793,37446
317,14219,13979
318,88977,110600
319,51431,36143
320,62841,46910
321,17571,12356
322,36667,27773
323,50844,65678
324,65638,80777
325,46557,56376
326,40591,29184
327,30560,21924
328,54659,38373
329,63542,69080
330,52164,40660
331,44107,50917
332,51549,36727
333,51938,50883
334,78958,56945
335,77000,56838
336,64417,59973
337,109375,78752
338,17958,17986
339,41995,36830
340,72393,58375
341,43186,37390
342,64118,70181
343,45107,47298
344,56050,67992
345,60076,77495
346,40921,52909
347,30714,31611
348,49437,41946
349,61836,47091
350,63578,55823
351,95156,100932
352,57045,50378
353,107250,85361
354,50019,58038
355,69531,48930
356,119844,146641
357,51002,36328
358,87976,61623
359,72545,94245
360,60813,77853
361,23686,18311
362,29341,22008
363,17039,12054
364,224215,209392
365,38651,30201
366,39543,34449
367,70193,81701
368,50637,58747
369,19515,13853
370,17886,13272
371,35864,39897
372,87613,75481
373,67317,74742
374,23905,19109
375,145888,130218
376,58631,52800
377,67344,87301
378,81074,76565
379,170211,188695
380,141867,138974
381,57915,47565
382,21159,23232
383,44946,50049
384,48464,45178
385,23826,27232
386,28307,34331
387,36229,45385
388,52303,63313
389,34375,36905
390,31894,40484
391,87552,90547
392,141134,162989
393,52947,64232
394,40380,30505
395,73750,86538
396,59454,42073
397,52060,40234
398,47917,35183
399,82563,103479
400,108269,135406
401,81058,64317
402,78450,56052
403,107059,77916
404,45568,47346
405,70644,49452
406,81974,61572
407,53750,39083
408,80948,76730
409,163375,125068
410,61939,74484
411,66315,56298
412,68839,68115
413,109031,140665
416,65293,54675
417,76580,57168
418,91563,64396
419,116809,143232
420,97331,98923
421,110500,143606
422,36917,47985
423,69833,86877
424,72589,59464
425,92159,118734
426,68950,88977
428,83065,59828
430,29904,38411
431,48750,48007
432,112574,145020
433,110667,134873
434,145063,110360
435,64539,63772
436,70417,54560
437,49189,34794
438,68214,88642
442,56047,64699
443,71956,79360
444,71964,51692
445,88750,77886
446,86161,100265
447,65972,84505
448,70473,50860
449,179333,141035
450,120872,122312
451,114493,137709
452,71898,75464
453,55000,43244
454,65000,62500
455,76809,83121
456,49200,53334
457,91667,109280
458,79350,56797
459,60950,78532
460,61386,70894
462,71103,87110
463,55643,48405
464,102097,132415
465,41406,48899
466,64808,73051
467,96750,113479
468,14173,18246
469,129511,92827
470,77168,55404
471,62770,58167
472,101330,114797
473,44692,53880
474,73750,76986
475,193167,249472
